지점,지점명,일시,월합강수량(00~24h만)(mm)
90,속초,2020-03,38
90,속초,2020-04,38.4
90,속초,2020-05,245.1
90,속초,2020-06,271.9
90,속초,2020-07,374.7
90,속초,2020-08,411.3
90,속초,2020-09,482.8
90,속초,2020-10,0
90,속초,2020-11,19.2
90,속초,2020-12,.5
90,속초,2021-01,0
90,속초,2021-02,5
90,속초,2021-03,104.2
90,속초,2021-04,97.2
90,속초,2021-05,154.9
90,속초,2021-06,43.8
90,속초,2021-07,104.1
90,속초,2021-08,247.1
90,속초,2021-09,141.6
90,속초,2021-10,216.9
90,속초,2021-11,16.2
90,속초,2021-12,68.7
90,속초,2022-01,3.6
90,속초,2022-02,11.1
90,속초,2022-03,114.5
90,속초,2022-04,33.5
90,속초,2022-05,9.1
90,속초,2022-06,248.7
90,속초,2022-07,213.1
90,속초,2022-08,323.7
90,속초,2022-09,263.8
90,속초,2022-10,377.1
90,속초,2022-11,38.4
90,속초,2022-12,.7
90,속초,2023-01,94.7
90,속초,2023-02,43.4
90,속초,2023-03,10.1
90,속초,2023-04,57
93,북춘천,2016-10,112.1
93,북춘천,2016-11,13.2
93,북춘천,2016-12,83.1
93,북춘천,2017-01,15.9
93,북춘천,2017-02,11
93,북춘천,2017-03,17.9
93,북춘천,2017-04,54.1
93,북춘천,2017-05,25.5
93,북춘천,2017-06,38.1
93,북춘천,2017-07,477.8
93,북춘천,2017-08,376.3
93,북춘천,2017-09,33.8
93,북춘천,2017-10,42.6
93,북춘천,2017-11,15.9
93,북춘천,2017-12,24.5
93,북춘천,2018-01,6.5
93,북춘천,2018-02,33
93,북춘천,2018-03,32
93,북춘천,2018-04,117.2
93,북춘천,2018-05,200.5
93,북춘천,2018-06,88.6
93,북춘천,2018-07,189.7
93,북춘천,2018-08,354.6
93,북춘천,2018-09,63
93,북춘천,2018-10,102.6
93,북춘천,2018-11,56.9
93,북춘천,2018-12,17.3
93,북춘천,2019-01,.2
93,북춘천,2019-02,27.5
93,북춘천,2019-03,30.9
93,북춘천,2019-04,49.7
93,북춘천,2019-05,31.4
93,북춘천,2019-06,88.7
93,북춘천,2019-07,252.2
93,북춘천,2019-08,186.6
93,북춘천,2019-09,147.9
93,북춘천,2019-10,48.4
93,북춘천,2019-11,57.8
93,북춘천,2019-12,10.5
93,북춘천,2020-01,55.9
93,북춘천,2020-02,35.3
93,북춘천,2020-03,13.7
93,북춘천,2020-04,17
93,북춘천,2020-05,122.2
93,북춘천,2020-06,79.1
93,북춘천,2020-07,183.6
93,북춘천,2020-08,821.2
93,북춘천,2020-09,153.1
93,북춘천,2020-10,.3
93,북춘천,2020-11,75.2
93,북춘천,2020-12,4.8
93,북춘천,2021-01,14.3
93,북춘천,2021-02,5.6
93,북춘천,2021-03,100.1
93,북춘천,2021-04,110.2
93,북춘천,2021-05,159.3
93,북춘천,2021-06,128.1
93,북춘천,2021-07,202
93,북춘천,2021-08,122.5
93,북춘천,2021-09,103.7
93,북춘천,2021-10,64.4
93,북춘천,2021-11,49.8
93,북춘천,2021-12,5.2
93,북춘천,2022-01,1.9
93,북춘천,2022-02,6.3
93,북춘천,2022-03,88.3
93,북춘천,2022-04,27.7
93,북춘천,2022-05,8.1
93,북춘천,2022-06,386.5
93,북춘천,2022-07,223.8
93,북춘천,2022-08,418.4
93,북춘천,2022-09,239
93,북춘천,2022-10,116.1
93,북춘천,2022-11,64
93,북춘천,2022-12,10.7
93,북춘천,2023-01,43.8
93,북춘천,2023-02,1.1
93,북춘천,2023-03,8.4
93,북춘천,2023-04,95.7
95,철원,1988-01,5.8
95,철원,1988-02,4.2
95,철원,1988-03,28.6
95,철원,1988-04,56.2
95,철원,1988-05,52.9
95,철원,1988-06,55.7
95,철원,1988-07,585.3
95,철원,1988-08,83.7
95,철원,1988-09,43.8
95,철원,1988-10,7.6
95,철원,1988-11,34.5
95,철원,1988-12,12.2
95,철원,1989-01,56.4
95,철원,1989-02,20.6
95,철원,1989-03,109.2
95,철원,1989-04,14.3
95,철원,1989-05,74.7
95,철원,1989-06,103.7
95,철원,1989-07,352.4
95,철원,1989-08,120
95,철원,1989-09,187.9
95,철원,1989-10,66.7
95,철원,1989-11,165.9
95,철원,1989-12,4.4
95,철원,1990-01,33
95,철원,1990-02,62.8
95,철원,1990-03,87.7
95,철원,1990-04,81.7
95,철원,1990-05,110.8
95,철원,1990-06,404.9
95,철원,1990-07,601.9
95,철원,1990-08,278.1
95,철원,1990-09,441.7
95,철원,1990-10,5.8
95,철원,1990-11,48.5
95,철원,1990-12,35.9
95,철원,1991-01,13.4
95,철원,1991-02,32.5
95,철원,1991-03,19.8
95,철원,1991-04,44.7
95,철원,1991-05,77.5
95,철원,1991-06,58.4
95,철원,1991-07,408.6
95,철원,1991-08,47.8
95,철원,1991-09,162.6
95,철원,1991-10,36.4
95,철원,1991-11,36.1
95,철원,1991-12,56.8
95,철원,1992-01,20.3
95,철원,1992-02,55.7
95,철원,1992-03,5.3
95,철원,1992-04,71.6
